timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2023-01-01T00:00:00+01:00,8750,10800,5004,5790,108,1372
2023-01-02T00:00:00+01:00,6802,8934,4025,3144,82,3095
2023-01-03T00:00:00+01:00,10991,10890,7438,4448,93,2983
2023-01-04T00:00:00+01:00,616,8353,50,1328,17,6476
2023-01-05T00:00:00+01:00,3506,11243,2174,1373,86,8623
2023-01-06T00:00:00+01:00,3436,10275,1251,676,84,7498
2023-01-07T00:00:00+01:00,7835,7442,5914,4295,145,1371
2023-01-08T00:00:00+01:00,3339,9489,1665,1494,60,6381
2023-01-09T00:00:00+01:00,3524,9486,1744,1025,88,6768
2023-01-10T00:00:00+01:00,2773,10167,916,311,127,8127
2023-01-11T00:00:00+01:00,1530,9406,599,39,72,8509
2023-01-12T00:00:00+01:00,1454,5912,862,223,126,5222
2023-01-13T00:00:00+01:00,5090,9005,3679,2696,145,5042
2023-01-14T00:00:00+01:00,1829,8285,771,354,88,6960
2023-01-15T00:00:00+01:00,7315,9397,5147,3385,66,3909
2023-01-16T00:00:00+01:00,2512,8289,1510,1424,137,5999
2023-01-17T00:00:00+01:00,8865,5495,7466,2668,219,1647
2023-01-18T00:00:00+01:00,1950,8406,1275,3966,142,3907
2023-01-19T00:00:00+01:00,4447,7776,3777,2814,194,4486
2023-01-20T00:00:00+01:00,10871,9695,9103,4045,527,4409
2023-01-21T00:00:00+01:00,225,10411,31,3126,5,7095
2023-01-22T00:00:00+01:00,23,12283,541,0,0,12802
2023-01-23T00:00:00+01:00,229,6526,398,0,34,6728
2023-01-24T00:00:00+01:00,2972,7804,1594,768,105,5764
2023-01-25T00:00:00+01:00,1431,6546,954,280,133,5922
2023-01-26T00:00:00+01:00,1424,8627,807,271,144,7882
2023-01-27T00:00:00+01:00,4401,10101,1854,1126,151,6581
2023-01-28T00:00:00+01:00,2244,10050,648,102,96,8448
2023-01-29T00:00:00+01:00,17934,12139,10818,4024,232,1231
2023-01-30T00:00:00+01:00,1625,7564,7649,5961,114,7741
2023-01-31T00:00:00+01:00,3937,8053,2944,6505,139,693
