timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2022-06-18T00:00:00+02:00,49252,4638,1675,889,44122,294
2022-06-19T00:00:00+02:00,50691,5375,1998,1420,45059,322
2022-06-20T00:00:00+02:00,34587,9110,2387,2543,25998,364
2022-06-21T00:00:00+02:00,48124,8972,3580,4818,40813,422
2022-06-22T00:00:00+02:00,17206,7913,6093,2623,6277,454
2022-06-23T00:00:00+02:00,43497,6027,3559,3099,37414,403
2022-06-24T00:00:00+02:00,36194,6195,5527,2866,27822,484
2022-06-25T00:00:00+02:00,49723,11096,2042,4081,41036,369
2022-06-26T00:00:00+02:00,44735,12670,5831,3272,29927,421
2022-06-27T00:00:00+02:00,21541,7194,4847,2797,12699,402
2022-06-28T00:00:00+02:00,52942,6892,2488,1784,45739,393
2022-06-29T00:00:00+02:00,44915,8538,4757,4104,36132,408
2022-06-30T00:00:00+02:00,49230,6837,3898,2366,41218,357
2022-07-01T00:00:00+02:00,28532,7257,3533,1635,19758,381
2022-07-02T00:00:00+02:00,53562,7089,1624,2704,47941,387
2022-07-03T00:00:00+02:00,53369,11425,4427,4018,41909,374
2022-07-04T00:00:00+02:00,52088,7099,5289,1272,41308,336
2022-07-05T00:00:00+02:00,49926,8226,2192,1319,41147,321
2022-07-06T00:00:00+02:00,50072,9127,3991,3181,40528,392
2022-07-07T00:00:00+02:00,17569,7335,2547,2798,10934,449
2022-07-08T00:00:00+02:00,45636,8761,5227,3765,35845,431
2022-07-09T00:00:00+02:00,37480,12115,3797,3526,25504,411
2022-07-10T00:00:00+02:00,40319,8124,4628,1985,29925,374
2022-07-11T00:00:00+02:00,31346,6282,2500,1719,24662,379
2022-07-12T00:00:00+02:00,48578,6774,3669,3255,41812,423
2022-07-13T00:00:00+02:00,38272,6639,4094,2514,30437,384
2022-07-14T00:00:00+02:00,42537,8032,3585,2501,33762,340
2022-07-15T00:00:00+02:00,51333,8406,2569,2306,43029,366
2022-07-16T00:00:00+02:00,50575,8407,2630,1550,41421,333
2022-07-17T00:00:00+02:00,51546,5384,2529,1696,45681,352
2022-07-18T00:00:00+02:00,50126,4814,2997,1176,43801,309
2022-07-19T00:00:00+02:00,50821,4719,1948,1775,46289,361
2022-07-20T00:00:00+02:00,42877,4980,4114,3177,37345,386
2022-07-21T00:00:00+02:00,40115,7323,2674,2597,33153,438
2022-07-22T00:00:00+02:00,50072,7843,3622,1772,40691,312
2022-07-23T00:00:00+02:00,37073,9024,2760,3242,28946,416
2022-07-24T00:00:00+02:00,47950,7402,3722,1365,38524,333
2022-07-25T00:00:00+02:00,39984,8663,4191,3716,31258,413
2022-07-26T00:00:00+02:00,31181,8969,5789,3388,20240,429
2022-07-27T00:00:00+02:00,29954,10869,3996,4928,20478,461
2022-07-28T00:00:00+02:00,43608,9087,4609,3747,34047,388
2022-07-29T00:00:00+02:00,36132,6602,4000,1357,27200,313
2022-07-30T00:00:00+02:00,41901,10248,2106,4659,34707,502
